statecode,countyFIPS,alldeath_may21,coviddeath_20_nyt,FI_2019,FI_20_pred,total_pop,perc_male,perc_85more,perc_65more,perc_65more_m,perc_65more_f,perc_inc10less,perc_inc15less,perc_inc25less,perc_SSI,perc_SNAP,perc_black,perc_asian,perc_hispanic,perc_lowedu,ln_medincome,perc_poverty,covidcase_20_nyt,Number of All Beds,Total Number of Occupied Beds,univ_dummy,cases,region,Division,state,CENSUSAREA,pop_density_kh2,Y_perc_alldeath_may21,Y_perc_coviddeath_nyt,perc_covidcase_nyt,perc_allbed,perc_occupiedbed
IA,19177,106.0,11.0,0.099,0.11900000000000001,7223.0,0.5119756333933269,0.022013013983109512,0.21182334210161985,0.10245050533019523,0.10937283677142462,0.050995459308417736,0.10234020258470136,0.21131680055885435,0.044708347886831985,0.115,0.007337671327703171,0.0012460196594212929,0.014813789284230931,0.1080111598968506,10.828242362822412,0.12390973279800635,455.0,60.0,50.76,0.0,0.0,Midwest,West North Central,IA,484.789,0.14899265453630345,0.014675342655406341,0.0015229129170704694,0.0629932161151876,0.008306797729475287,0.0070275508791360925
IA,19179,527.0,90.0,0.107,0.129,35315.0,0.4927934305535892,0.023955826136202747,0.1713436216904998,0.07651139742319127,0.09483222426730853,0.06450270495214315,0.1337217367179914,0.2675821889305036,0.06124289083090581,0.188,0.0323658502052952,0.010647033838312331,0.10655528812119497,0.1185336685180664,10.830381867194474,0.1371088772476285,3133.0,88.66666666666669,58.5359477124183,0.0,0.0,Midwest,West North Central,IA,431.833,0.8177929894195208,0.014922837321251593,0.0025484921421492284,0.08871584312615036,0.0025107367030062773,0.0016575378086484014
IA,19181,488.0,34.0,0.07,0.091,49361.0,0.4886043637689674,0.01857741942019003,0.15200259314033346,0.06667206904236138,0.08533052409797208,0.038345904319848086,0.07294688538425023,0.139353341420961,0.04367318951421489,0.087,0.004639290127833715,0.005672494479447337,0.02700512550394036,0.046411962509155275,11.28422902486632,0.07335750896456716,3810.0,82.33333333333333,56.36928104575163,1.0,16.0,Midwest,West North Central,IA,569.827,0.8662453692085493,0.009886347521322501,0.0006888029010757481,0.07718644273819412,0.0016679834957422526,0.001141980126937291
IA,19183,319.0,28.0,0.084,0.10099999999999999,22143.0,0.5001580634963645,0.030438513299914195,0.18633428171431152,0.08332204308359299,0.10301223863071853,0.028211009174311925,0.0680045871559633,0.14678899082568808,0.04334862385321101,0.086,0.0090773607912207,0.0046967438919748895,0.060335094612292826,0.08578926086425781,11.05453415105266,0.08901232895271644,1882.0,62.77566539923954,46.08365019011407,0.0,0.0,Midwest,West North Central,IA,568.835,0.3892692960172985,0.014406358668653751,0.0012645079709163167,0.084993000045161,0.0028350117598897866,0.002081183678368517
IA,19185,119.0,21.0,0.109,0.128,6413.0,0.4922813036020583,0.03695618275378138,0.21612349914236706,0.09355995633868704,0.12256354280368002,0.05470213563132259,0.10303484451105284,0.25252903709254404,0.04983139752716373,0.127,0.010447528457820056,0.0003118665211289568,0.008576329331046312,0.12101764678955078,10.819017995463872,0.18883517854358334,381.0,71.0,59.92156862745098,0.0,0.0,Midwest,West North Central,IA,525.437,0.1220507882010593,0.01855605800717293,0.0032745984718540464,0.05941057227506627,0.011071261500077966,0.009343765574216588
IA,19187,818.0,64.0,0.106,0.126,36757.0,0.5161465843240743,0.028593193133280737,0.17534075142149794,0.0769649318497157,0.09837581957178224,0.07002893214097844,0.13124671225670698,0.26696475539189896,0.05996843766438716,0.132,0.04731071632614196,0.01322197132518976,0.04741953913540278,0.09527865409851075,10.88451678555052,0.1089588377723971,4447.0,84.83333333333333,61.24183006535948,0.0,0.0,Midwest,West North Central,IA,715.619,0.5136392409927629,0.022254264493837907,0.0017411649481731371,0.12098375819571783,0.0023079504130732466,0.001666126997996558
IA,19189,133.0,28.0,0.085,0.113,10571.0,0.4909658499668906,0.036609592280768134,0.20244063948538452,0.08693595686311607,0.11550468262226847,0.047339847991313785,0.09467969598262757,0.192399565689468,0.04820846905537459,0.068,0.012865386434585185,0.012392394286254849,0.043893671365055335,0.07559364795684814,10.824925017229813,0.0956390123923943,1100.0,60.0,33.588235294117645,0.0,0.0,Midwest,West North Central,IA,400.489,0.2639523182908894,0.012581591145586983,0.0026487560306498914,0.1040582726326743,0.005675905779964053,0.0031773943140779156
IA,19191,223.0,18.0,0.073,0.094,20401.0,0.4978187343757659,0.031959217685407576,0.19396108033919907,0.08911327876084506,0.104847801578354,0.040463132236441185,0.07629494210847045,0.1818403412553321,0.030347349177330892,0.051,0.009460320572520955,0.013234645360521543,0.02186167344738003,0.0476441764831543,11.08953057469608,0.07592765060536248,1381.0,68.62913907284768,48.3907284768212,1.0,7.0,Midwest,West North Central,IA,689.868,0.29572323980819515,0.010930836723690015,0.0008823096907014362,0.06769276015881574,0.003364008581581671,0.002371978259733405
IA,19193,1983.0,167.0,0.08900000000000001,0.11199999999999999,102398.0,0.4931346315357722,0.01931678353092834,0.1442996933533858,0.06210082228168519,0.08219887107170062,0.05765234124438742,0.1018601667735728,0.20985246953175116,0.051212315586914685,0.13699999999999998,0.03494208871267017,0.028926346217699562,0.16153635813199474,0.12929594039916992,10.975396458369687,0.1258032383444989,12284.0,71.8974358974359,43.48915187376726,1.0,46.0,Midwest,West North Central,IA,872.834,1.1731669481253022,0.01936561260962128,0.0016308912283443035,0.1199632805328229,0.0007021371110513476,0.0004247070438267082
IA,19195,64.0,3.0,0.08800000000000001,0.111,7489.0,0.5012685271731874,0.028308185338496463,0.19775670984110028,0.09213513152623848,0.1056215783148618,0.06340694006309149,0.09936908517350157,0.18580441640378548,0.03848580441640378,0.101,0.012551742555748431,0.0033382294031245826,0.029109360395246364,0.06691943168640138,11.004413828535967,0.09493924422486312,521.0,44.5,33.950980392156865,0.0,0.0,Midwest,West North Central,IA,400.123,0.18716744601035182,0.008545867271998932,0.0004005875283749499,0.0695687007611163,0.005942048337561757,0.004533446440400169
IA,19197,196.0,18.0,0.08900000000000001,0.106,12804.0,0.4985160887222743,0.045454545454545456,0.2161043423930022,0.0966104342393002,0.11949390815370195,0.04727592267135325,0.11388400702987694,0.23286467486818985,0.029349736379613363,0.121,0.006872852233676976,0.0030459231490159327,0.11566697906904093,0.07648853302001953,10.90137670441254,0.10652920962199312,1529.0,69.12418300653594,36.51633986928105,0.0,0.0,Midwest,West North Central,IA,580.422,0.22059811654279127,0.015307716338644174,0.0014058106841611997,0.11941580756013746,0.005398639722472348,0.002851947818594271
ID,16001,5966.0,355.0,0.08800000000000001,0.111,446052.0,0.5007644848582676,0.01467766090052281,0.13473092823258276,0.06155784527364521,0.07317308295893753,0.06356487160796724,0.09976828393810633,0.1871744270805554,0.03411737514889683,0.075,0.013908692260095236,0.026804049752046845,0.08034489252374162,0.04839291095733644,11.188510249462226,0.09869477101324507,38417.0,88.62028608582575,54.63813229571984,1.0,400.0,West,Mountain,ID,1052.576,4.2377177514972795,0.013375122183063857,0.0007958713333871387,0.0861267296189682,0.00019867702887965024,0.00012249274141965476
ID,16005,1189.0,63.0,0.121,0.14,85065.0,0.497266795979545,0.014506553811790984,0.13383882913066478,0.062434608828542876,0.0714042203021219,0.07104179501313188,0.12606595116889854,0.2337148600888428,0.06429752602055705,0.142,0.0066772468112619755,0.016516781284899782,0.08453535531652266,0.07546161651611327,10.883804174174841,0.13582554517133955,6443.0,77.17733990147784,50.30049261083744,1.0,148.0,West,Mountain,ID,1111.988,0.7649812767763681,0.01397754658202551,0.0007406101216716628,0.07574207958619879,0.0009072749062655362,0.0005913183167088396
ID,16009,128.0,4.0,0.152,0.172,9086.0,0.5070438036539732,0.01915034118423949,0.2186880915694475,0.11082984811798373,0.1078582434514638,0.06993424985056784,0.13897190675433355,0.25642558278541544,0.07740585774058578,0.14,0.0006603565925599824,0.0035219018269865726,0.03532907770195906,0.12447940826416015,10.805740210106356,0.1557340964120625,433.0,74.0,55.75,0.0,0.0,West,Mountain,ID,776.617,0.11699460609283599,0.01408760730794629,0.00044023772837332157,0.047655734096412064,0.00814439797490645,0.006135813339203169
ID,16011,490.0,46.0,0.094,0.107,45551.0,0.4993523742618165,0.01516980966389322,0.1368575881978442,0.06441131918069856,0.07244626901714561,0.05388572975900352,0.09937720010831302,0.21879230977525047,0.04400216626049282,0.119,0.00267831661214902,0.007639788369080811,0.1797106539922285,0.10848491668701171,11.001416274292268,0.11295031942218613,3649.0,44.82352941176471,35.29411764705883,0.0,0.0,West,Mountain,ID,2093.978,0.2175333265201449,0.01075717327830344,0.0010098570832693025,0.08010801080108011,0.0009840295363826197,0.0007748264066004881
ID,16013,155.0,13.0,0.08900000000000001,0.122,21994.0,0.5115486041647722,0.016231699554423933,0.17295626079839954,0.08625079567154678,0.08670546512685277,0.0514041514041514,0.09255189255189256,0.21611721611721613,0.026984126984126985,0.057,0.0036828225879785396,0.011275802491588615,0.21815040465581526,0.11324799537658693,11.2355632920364,0.07533872874420297,1562.0,40.941176470588225,34.411764705882355,0.0,0.0,West,Mountain,ID,2643.586,0.08319759599271596,0.007047376557242885,0.0005910702918977903,0.07101936891879604,0.0018614702405468867,0.001564597831494151
ID,16017,504.0,14.0,0.125,0.15,42711.0,0.5002458383086325,0.01882419048956943,0.2295193275736929,0.1157781367797523,0.11374119079394067,0.053855777979981805,0.12630800727934485,0.2594972702456779,0.0683007279344859,0.098,0.0029734728758399474,0.006649340919201142,0.030015686825407974,0.09159666061401367,10.946040822807591,0.1331975369342792,1968.0,87.01098901098902,63.373626373626365,0.0,0.0,West,Mountain,ID,1734.573,0.2462335110716009,0.011800238814356958,0.00032778441150991546,0.046077122989393836,0.0020372032734187685,0.0014837776304377412
ID,16019,1817.0,117.0,0.095,0.111,112397.0,0.500342535832807,0.016281573351601908,0.12734325649261102,0.05824888564641405,0.06909437084619696,0.04582051282051282,0.08638461538461538,0.18879487179487175,0.055743589743589735,0.123,0.005409397047963914,0.009235121933859444,0.12884685534311413,0.08047868728637696,11.08467779396482,0.0974492201749157,10383.0,78.5,39.20588235294117,0.0,0.0,West,Mountain,ID,1866.077,0.6023170533691804,0.016165911901563208,0.0010409530503483189,0.09237791044244953,0.0006984172175413934,0.00034881609253753363
