death14_sum,death15_sum,death16_sum,death17_sum,death18_sum,countyFIPS,statecode,countyname,coviddeath_may21,alldeath_may21,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,death14_pop,death15_pop,death16_pop,death17_pop,death18_pop,death20_pop,avgdeath_pop,excessmortal_final
604,557,614,620,576,36073,NY,Orleans County,60.0,448.0,41864,41482,41270,40815,40708,40351,39978,0.014427670552264476,0.013427510727544478,0.0148776350860189,0.015190493691044958,0.01414955291343225,0.011206163389864425,0.014414572594061013,-0.2225809460017214
1511,1477,1508,1609,1533,36075,NY,Oswego County,82.0,1112.0,120611,119764,118907,118444,117520,116934,116346,0.012527878883352266,0.012332587421929796,0.012682180191241895,0.01358447874100841,0.013044588155207624,0.009557698588692348,0.012834342678548,-0.2553028364539781
838,796,837,916,872,36077,NY,Otsego County,113.0,1220.0,60973,60524,60135,59955,59828,59347,58701,0.013743788234136422,0.013151807547419205,0.013918682963332502,0.015278125260612126,0.014575115330614428,0.02078329159639529,0.014133503867222938,0.47049817169498215
961,1050,991,1000,974,36079,NY,Putnam County,99.0,814.0,99407,99158,98753,98901,98871,98511,98532,0.009667327250596035,0.010589160733375017,0.010035138173017528,0.010111121222232334,0.0098512202769265,0.008261275524702634,0.010050793531229485,-0.17804743485840407
20200,20049,20175,20405,20284,36081,NY,Queens County,7411.0,25479.0,2298234,2305252,2306249,2295226,2275286,2253942,2225821,0.008789357393546523,0.008697096890058006,0.008747971272833072,0.0088901920769458,0.0089149232228388,0.011447012136196037,0.00880790817124444,0.29962891456652485
2118,2035,2068,2108,2057,36083,NY,Rensselaer County,139.0,2138.0,159719,159413,159311,159214,159452,158981,158108,0.013260789261139877,0.012765583735328987,0.01298089899630283,0.0132400417048752,0.012900433986403432,0.013522402408480278,0.013029549536810065,0.037825779799819194
5108,5152,5195,5210,5242,36085,NY,Richmond County,1610.0,6539.0,471899,472301,474160,475819,476531,476141,475327,0.010824350125768437,0.010908297886305556,0.010956217310612451,0.01094954173750943,0.011000333661398734,0.013756845287559933,0.010927748144318922,0.25889113711975426
2851,3009,3096,3082,3180,36087,NY,Rockland County,974.0,3871.0,321120,322938,323231,324600,325656,326352,326225,0.008878300946686598,0.009317577987105884,0.009578289211121457,0.009494762784966112,0.009764905298842951,0.011866043374971262,0.009406767245744598,0.26143690653547136
1307,1324,1404,1369,1437,36089,NY,St. Lawrence County,93.0,1368.0,111476,110399,109506,108768,108534,107766,107185,0.011724496752664251,0.011992862254187085,0.012821215275875295,0.012586422477199176,0.013240090662833767,0.0127629798945748,0.012473017484551915,0.0232471741807473
2384,2581,2597,2760,2680,36091,NY,Saratoga County,142.0,2210.0,224605,226182,227189,229314,230127,229635,230298,0.010614189354644822,0.01141116446047873,0.011431011184520378,0.012035898375153719,0.011645743437319393,0.009596262234148799,0.011427601362423406,-0.16025577636059948
2202,2138,2212,2319,2188,36093,NY,Schenectady County,190.0,2418.0,155050,154773,154473,154716,155334,155548,155358,0.014201870364398581,0.013813778889082721,0.014319654567464864,0.01498875358721787,0.014085776455895038,0.015564052060402426,0.014281966772811816,0.08976951900149215
415,409,412,408,436,36095,NY,Schoharie County,,273.0,31768,31408,31318,31260,31182,31052,31132,0.01306346008562075,0.013022159959246053,0.013155373906379718,0.013051823416506719,0.013982425758450387,0.008769112167544649,0.013255048625240726,-0.3384322898034338
520,510,511,545,525,36099,NY,Seneca County,37.0,316.0,34891,34814,34725,34293,34277,34189,33991,0.01490355679114958,0.014649279025679324,0.014715622750179985,0.015892456186393726,0.015316392916532952,0.009296578506075138,0.015095461533987114,-0.3841474482152078
1434,1359,1369,1473,1503,36101,NY,Steuben County,142.0,1388.0,98153,97549,96975,96379,95876,95328,94657,0.014609843815268,0.013931460086725645,0.01411704047434906,0.015283412361614044,0.01567649881096416,0.014663469157061813,0.01472365110978418,-0.004087434038855705
16483,16766,17375,17392,17502,36103,NY,Suffolk County,4434.0,21723.0,1495553,1491997,1486699,1483862,1482275,1478325,1474273,0.011021341269751055,0.011237288010632729,0.011686965552542915,0.011720766486371374,0.011807525594103658,0.014734720095938812,0.011494777382680347,0.28186215403703424
1009,1013,1030,1000,1026,36105,NY,Sullivan County,79.0,913.0,75651,74850,74913,75000,75381,75551,75802,0.01333756328402797,0.01353373413493654,0.013749282501034533,0.013333333333333334,0.013610856847216142,0.012044537083454262,0.013512954020109704,-0.10866735241385224
661,660,695,640,664,36107,NY,Tioga County,49.0,447.0,49855,49390,48858,48659,48515,48221,47904,0.013258449503560326,0.013363028953229399,0.014224896639240247,0.013152756941161964,0.013686488714830464,0.0093311623246493,0.013537124150404482,-0.31069832698767935
953,966,952,1012,977,36109,NY,Tompkins County,64.0,987.0,103530,103187,103042,102731,102382,101971,101058,0.00920506133487878,0.009361644393189065,0.009238951107315464,0.00985097000905277,0.009542693051512962,0.009766668645728196,0.009439863979189809,0.03461963723829371
2333,2446,2446,2447,2436,36111,NY,Ulster County,175.0,2066.0,180435,179696,179045,178650,178510,177933,177716,0.012929863939922964,0.013611877838126615,0.01366137004663632,0.01369717324377274,0.013646294325247886,0.0116252897882014,0.013509315878741305,-0.1394612508472519
995,1004,1002,1002,1038,36113,NY,Warren County,106.0,1394.0,64893,64449,64525,64406,64269,63980,63756,0.015332932673786078,0.015578209126596224,0.0155288647810926,0.015557556749371176,0.016150865891798535,0.02186460882113056,0.015629685844528923,0.39891543813621394
893,836,870,890,963,36115,NY,Washington County,44.0,745.0,62504,62277,61812,61600,61335,61168,60606,0.014287085626519903,0.01342389646257848,0.014074936905455252,0.014448051948051948,0.0157006603081438,0.012292512292512292,0.014386926250149878,-0.14557758351029057
1164,1213,1210,1233,1293,36117,NY,Wayne County,64.0,919.0,91819,91316,90823,90429,90110,89816,89339,0.012677114758383342,0.013283542862149021,0.013322616517842396,0.013635006469163654,0.014349128842525802,0.010286660920762488,0.013453481890012844,-0.2353904361071937
10031,9773,9913,10185,10176,36119,NY,Westchester County,2901.0,12445.0,967180,968891,970461,970033,968928,968467,965802,0.010371388986538183,0.010086789948508139,0.010214732998028771,0.010499642795657467,0.010502328346378677,0.012885663935257951,0.010334976615022248,0.2468014602498656
